algorithm,dataset,time,flow,edges,vertexes
bfs,vision3,2.627,5668675,47872,2002
bfs,vision3,2.673,5668675,47872,2002
bfs,vision3,2.664,5668675,47872,2002
bfs,vision3,2.665,5668675,47872,2002
bfs,vision3,2.645,5668675,47872,2002
dfs,vision3,26.1,5668675,47872,2002
dfs,vision3,26.2,5668675,47872,2002
dfs,vision3,26.2,5668675,47872,2002
dfs,vision3,26.0,5668675,47872,2002
dfs,vision3,26.2,5668675,47872,2002
nx-ek-pypy,vision3,15.05,5668675,47872,2002
nx-ek-pypy,vision3,14.98,5668675,47872,2002
nx-ek-pypy,vision3,15.01,5668675,47872,2002
nx-ek-pypy,vision3,15.02,5668675,47872,2002
nx-ek-pypy,vision3,14.98,5668675,47872,2002
nx-pp-pypy,vision3,.56,5668675,47872,2002
nx-pp-pypy,vision3,.54,5668675,47872,2002
nx-pp-pypy,vision3,.55,5668675,47872,2002
nx-pp-pypy,vision3,.54,5668675,47872,2002
nx-pp-pypy,vision3,.539,5668675,47872,2002
nx-ek,vision3,34.3,5668675,47872,2002
nx-ek,vision3,35.0,5668675,47872,2002
nx-ek,vision3,34.4,5668675,47872,2002
nx-ek,vision3,34.6,5668675,47872,2002
nx-ek,vision3,34.5,5668675,47872,2002
bfs,vision5,13.3,6849322,139600,2002
bfs,vision5,13.3,6849322,139600,2002
bfs,vision5,13.3,6849322,139600,2002
bfs,vision5,13.3,6849322,139600,2002
bfs,vision5,13.3,6849322,139600,2002
dfs,vision5,108,6849322,139600,2002
dfs,vision5,109,6849322,139600,2002
dfs,vision5,109,6849322,139600,2002
dfs,vision5,109,6849322,139600,2002
dfs,vision5,109,6849322,139600,2002
